"sigma_o" "bias_o" "lapse_o" "sigma_m" "bias_m" "lapse_m" "id"
"1" 2.98218841791373 -0.111002141762877 0 0.125493961259669 -0.0515029810045734 0.00877622877608362 "1_01"
"2" 3.26487814682937 -0.864260505301986 0 0.092475956525109 -0.0118763832312552 0.00417168761779502 "1_02"
"3" 3.10612240328657 -0.144858501577374 0 0.0794385126943739 -0.0306429317715584 1.05986517836796e-05 "1_03"
"4" 3.11140344276725 -0.492598510039934 0.0221094383564939 0.348327618976609 -0.227091213737449 0.0333449402761044 "2_01"
"5" 3.64398574649199 0.128740239023898 0.000305482451018949 0.527987714404079 0.0728293755538177 0.0243421009848681 "2_02"
"6" 3.0522839207891 0.210605672762049 0.0105358297392971 0.163899420024794 -0.0386052365316764 0.0606017203425492 "2_03"
"7" 5.30401375359202 1.74778726563127 1.276389401619e-09 0.34627725161249 -0.0542805471010414 0 "4_01"
"8" 5.03912183735759 0.939367743975707 0.015231309688812 0.334328566452933 -0.286818519537496 0.00662330120467173 "4_02"
"9" 3.71834042221251 1.79698009115217 0.029399760588043 0.245227196579806 -0.0797196371962114 0.00371620966078463 "4_03"
"10" 10.3847789576778 -0.0595910362038014 0 1.1957645823937 0.444112142417487 0.0236941326040302 "6_01"
"11" 4.6924573139332 0.17557953599743 0 0.277453301902236 0.113761289302071 0.0040865803391196 "6_02"
"12" 6.06748629219986 0.605562493356043 0.00220036193001465 0.351149051041286 0.184632844118424 0.000917626139429613 "6_03"
"13" 3.28768190218726 -1.16860683136634 0.00532281871704137 0.269559145276313 -0.0581418387756258 0.0926836437339486 "7_02"
"14" 4.4200986389396 0.0186289488210675 0.0240011927691564 0.203865701686816 0.0867857679522795 0.0294551866823598 "7_03"
"15" 7.75417757716073 -3.83100930595745 1.86091948757663e-15 0.405242158006406 -0.00579053525389845 0.0549268049193324 "8_01"
"16" 5.05204621421181 -0.643563185605568 0.00400858265139105 0.231385263613671 -0.0154027300259421 0 "8_02"
"17" 4.71611960478402 -0.577728503612754 0 0.230283605270169 0.0052578830641336 0 "8_03"
"18" 3.28749973361107 -2.65937112049856 0.0099746745524526 0.25764730451708 0.166477750458247 0 "9_01"
"19" 3.87836044894254 -2.41782682459474 0 0.191792071807072 0.105126224383269 0 "9_02"
"20" 3.31068767513628 -1.6225923871987 0 0.187797384810181 0.118316927343845 0.000663624877678634 "9_03"
"21" 5.24811156892813 1.6658306726852 0.00250904062086101 0.591834239809833 -0.335747651110388 6.58884619060995e-20 "10_02"
"22" 4.9903517029433 0.395009587731148 0.00188803364757291 0.506905808550853 -0.286330617916107 0 "10_03"
