"sigma_o" "bias_o" "lapse_o" "sigma_m" "bias_m" "lapse_m" "id"
"1" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "zx"
"2" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "cx"
"3" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "fs"
"4" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "hd"
"5" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "lq"
"6" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "cu"
"7" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "dr"
"8" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "rf"
"9" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "ej"
"10" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "hg"
"11" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "cd"
"12" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "my"
"13" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "lh"
"14" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "rz"
"15" 0.000115163990834696 -1.59855652854714e-05 0.292087936245219 0.000114391764629009 -8.8164224336905e-06 0.298844464412447 "yp"
